Capture Sphere; 0.02; common; 0.02
Shadowborn Apostle; 0.15; common; 0.3
Jodah, Archmage Eternal; 0.05; rare; 0.31
Sensei's Divining Top; 13.5; rare; 29.0
Splinterfright; 0.05; rare; 0.19
Restoration Angel; 0.1; rare; 1.4
Orzhov Pontiff; 0.02; uncommon; 0.18
Dromoka's Command; 0.2; rare; 0.75
Mistfire Adept; 0.02; uncommon; 0.02
Bring to Light; 0.08; rare; 0.23
Creakwood Liege; 0.8; rare; 3.69
Abzan Ascendancy; 0.02; rare; 0.2
Glowspore Shaman; 0.02; common; 0.05
Impervious Greatwurm; 0.05; rare; 0.4
Gifts Ungiven; 0.14; rare; 0.8
Bloom Tender; 6.5; rare; 11.75
Rafiq of the Many; 0.25; rare; 0.99
League Guildmage; 0.02; uncommon; 0.08
Winged Coatl; 0.02; common; 0.02
Summer Bloom; 0.15; uncommon; 0.3
Spider Spawning; 0.02; uncommon; 0.04
Seeker of the Way; 0.01; common; 0.04
Thrive; 0.02; common; 0.02
Venser, Shaper Savant; 0.3; rare; 1.9
Green Sun's Zenith; 7.95; rare; 13.45
Kederekt Leviathan; 0.02; rare; 0.4
Leonin Arbiter; 0.39; rare; 1.3
Monastery Swiftspear; 0.09; common; 0.38
Roon of the Hidden Realm; 0.06; rare; 0.3
Heroic Reinforcements; 0.02; uncommon; 0.08
Pirate's Pillage; 0.02; common; 0.02
Arjun, the Shifting Flame; 0.05; rare; 0.6
Cartel Aristocrat; 0.01; common; 0.02
Aethersnipe; 0.02; common; 0.02
Ob Nixilis, Unshackled; 0.5; rare; 2.0
Ingenious Skaab; 0.01; common; 0.02
Gruul Turf; 0.02; uncommon; 0.15
Dauntless Escort; 0.05; rare; 0.22
Storm Fleet Pyromancer; 0.02; common; 0.02
Grapple with the Past; 0.02; common; 0.02
Golgari Rot Farm; 0.02; uncommon; 0.15
Centaur Battlemaster; 0.02; uncommon; 0.04
Talrand, Sky Summoner; 0.05; rare; 0.05
Magister Sphinx; 0.1; rare; 0.6
Wasitora, Nekoru Queen; 0.09; rare; 0.49
Momentary Blink; 0.01; common; 0.02
Dimir Aqueduct; 0.02; uncommon; 0.17
Call to the Feast; 0.01; common; 0.02
Mentor of the Meek; 0.02; uncommon; 0.1
